"name","isFork","commits","branches","defaultBranch","releases","contributors","license","watchers","stargazers","forks","size","createdAt","pushedAt","updatedAt","homepage","mainLanguage","totalIssues","openIssues","totalPullRequests","openPullRequests","lastCommit","lastCommitSHA","hasWiki","isArchived"
"tensorspeech/tensorflowtts",false,771,13,"master",8,31,"Apache License 2.0",75,2992,676,136523,"2020-03-22T03:44:10","2022-11-25T10:55:58","2022-12-14T05:00:19","https://tensorspeech.github.io/TensorFlowTTS/","Python",663,4,117,0,"2022-03-10T08:34:25","136877136355c82d7ba474ceb7a8f133bd84767e",true,false
"tensorflow/benchmarks",false,796,31,"master",0,74,"Apache License 2.0",183,1065,627,3153,"2016-10-12T06:41:20","2022-11-10T12:24:10","2022-11-21T02:35:45","","Python",279,88,251,8,"2022-11-10T12:24:10","969e9bac97c0f82a5c710a81b2ba531597e2f535",true,false
"tensorflow/compression",false,260,1,"master",19,15,"Apache License 2.0",43,697,234,1367,"2018-05-15T11:32:19","2022-12-01T10:41:09","2022-12-14T05:02:05","","Python",93,3,18,0,"2022-12-01T10:40:11","99864d303a4f9a97ca688111b6889ef49dbeca71",false,false
"tensorflow/privacy",false,753,9,"master",13,47,"Apache License 2.0",60,1681,387,2944,"2018-12-21T06:46:46","2022-11-08T07:05:31","2022-11-21T04:27:07","","Python",159,72,188,20,"2022-11-08T07:05:26","2040f08f0d94f6080de6de1349e3578bbe9e4bab",false,false
"tensorflow/quantum",false,726,21,"master",8,30,"Apache License 2.0",79,1515,458,26047,"2020-02-06T07:58:35","2023-01-19T08:28:04","2023-01-29T01:03:26","https://www.tensorflow.org/quantum","Python",288,94,454,22,"2022-12-19T06:49:25","f46056db49619faa17b417eca899f588fffe4631",true,false
"tensorflow/io",false,1586,7,"master",37,91,"Apache License 2.0",40,613,253,51263,"2018-11-09T10:44:05","2023-01-21T02:21:58","2023-01-24T07:31:24","","C++",575,225,1187,10,"2023-01-18T04:47:07","e196400d874f6dbe7b12625c7debb44da44c3dc4",false,false
"tensorflow/tflite-support",false,2115,62,"master",10,48,"Apache License 2.0",25,282,104,149937,"2020-06-01T03:15:31","2022-12-08T12:07:38","2022-12-20T05:20:26","","C++",164,44,743,12,"2022-12-08T12:07:33","ec031d75579b664488bbc47ae59f72ac1e1e1a88",true,false
"microsoft/tensorflow-directml",false,63876,20,"directml",8,374,"Apache License 2.0",21,416,27,591973,"2020-08-29T06:44:33","2022-12-21T10:39:10","2023-01-04T07:31:35","","C++",50,20,339,2,"2022-12-21T10:39:00","3800a8e1cdeea062b9dac8584fb6303be7395b06",true,false
"pinto0309/openvino2tensorflow",false,745,1,"main",165,4,"MIT License",15,265,34,12121,"2020-10-15T02:52:26","2022-10-09T01:17:13","2022-10-16T01:31:53","","Python",117,5,13,0,"2022-10-09T01:17:12","63fff406a2bd44258c91521add6efc8acf899808",true,false
"tensorflow/model-analysis",false,1286,29,"master",54,49,"Apache License 2.0",74,1188,262,20659,"2018-03-23T07:08:49","2023-01-20T02:24:13","2023-01-31T04:12:32",,"Python",69,18,100,12,"2023-01-20T02:24:12","1000858a09544ae6bf3ab8496281aed87965c981",true,false
